,0
0,5
1,1
2,9
3,1
4,1
5,9
6,2
7,11
8,5
9,9
10,2
11,1
12,1
13,5
14,2
15,5
16,9
17,4
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,5
26,1
27,1
28,1
29,2
30,6
31,1
32,5
33,0
34,1
35,9
36,1
37,2
38,9
39,1
40,10
41,5
42,1
43,9
44,4
45,1
46,1
47,1
48,1
49,11
50,1
51,1
52,4
53,9
54,1
55,0
56,1
57,1
58,1
59,1
60,1
61,2
62,1
63,9
64,9
65,1
66,1
67,4
68,1
69,1
70,11
71,1
72,10
73,5
74,5
75,5
76,5
77,2
78,5
79,5
80,5
81,1
82,1
83,1
84,9
85,9
86,3
87,11
88,1
89,0
90,1
91,2
92,1
93,1
94,4
95,0
96,11
97,0
98,1
99,1
100,9
101,1
102,3
103,1
104,1
105,1
106,2
107,11
108,1
109,1
110,1
111,9
112,1
113,1
114,11
115,1
116,1
117,5
118,11
119,1
120,5
121,10
122,2
123,9
124,1
125,2
126,11
127,11
128,1
129,4
130,2
131,1
132,1
133,11
134,11
135,5
136,4
137,1
138,10
139,1
140,11
141,1
142,5
143,1
144,11
145,5
146,2
147,5
148,1
149,1
150,1
151,1
152,2
153,5
154,1
155,1
156,1
157,1
158,1
159,5
160,1
161,8
162,1
163,5
164,1
165,5
166,5
167,5
168,6
169,5
170,9
171,1
172,2
173,1
174,1
175,10
176,4
177,1
178,1
179,5
180,2
181,1
182,0
183,1
184,10
185,1
186,1
187,2
188,1
189,1
190,1
191,1
192,1
193,5
194,1
195,1
196,9
197,5
198,2
199,1
200,6
201,1
202,1
203,5
204,1
205,1
206,9
207,1
208,1
209,5
210,5
211,1
212,1
213,5
214,1
215,1
216,1
217,1
218,9
219,1
220,1
221,1
222,1
223,1
224,9
225,1
226,1
227,1
228,4
229,1
230,5
231,1
232,10
233,5
234,1
235,1
236,1
237,1
238,1
239,11
240,1
241,1
242,10
243,1
244,9
245,1
246,11
247,2
248,0
249,1
250,11
251,1
252,1
253,1
254,1
255,11
256,9
257,1
258,1
259,11
260,6
261,1
262,9
263,1
264,11
265,1
266,5
267,1
268,9
269,1
270,9
271,1
272,1
273,9
274,5
275,1
276,1
277,2
278,1
279,1
280,1
281,1
282,9
283,1
284,5
285,1
286,2
287,1
288,5
289,1
290,1
291,9
292,1
293,9
294,0
295,1
296,1
297,1
298,1
299,1
300,2
301,4
302,1
303,1
304,11
305,5
306,5
307,1
308,2
309,11
310,1
311,1
312,9
313,1
314,1
315,5
316,1
317,9
318,1
319,1
320,1
321,11
322,1
323,1
324,5
325,1
326,1
327,1
328,9
329,11
330,1
331,11
332,1
333,1
334,11
335,1
336,0
337,1
338,1
339,9
340,1
341,5
342,1
343,9
344,1
345,1
346,1
347,1
348,1
349,1
350,1
351,1
352,1
353,9
354,2
355,1
356,1
357,2
358,1
359,1
360,1
361,1
362,1
363,1
364,1
365,5
366,1
367,2
368,10
369,9
370,1
371,4
372,4
373,11
374,0
375,1
376,1
377,1
378,1
379,4
380,5
381,10
382,1
383,9
384,1
385,9
386,3
387,5
388,0
389,5
390,1
391,1
392,1
393,1
394,5
395,1
396,9
397,5
398,2
399,11
400,1
401,1
402,10
403,5
404,10
405,4
406,11
407,5
408,1
409,1
410,2
411,1
412,5
413,5
414,9
415,11
416,10
417,1
418,1
419,5
420,9
421,5
422,4
423,2
424,5
425,1
426,1
427,9
428,11
429,5
430,11
431,1
432,5
433,1
434,11
435,1
436,4
437,2
438,1
439,10
440,1
441,11
442,1
443,11
444,0
445,1
446,11
447,1
448,1
449,1
450,2
451,5
452,5
453,8
454,5
455,5
456,1
457,11
458,4
459,9
460,1
461,1
462,1
463,1
464,1
465,1
466,1
467,1
468,1
469,1
470,1
471,1
472,1
473,0
474,4
475,10
476,11
477,11
478,1
479,3
480,5
481,1
482,2
483,1
484,1
485,1
486,11
487,1
488,1
489,1
490,4
491,6
492,1
493,1
494,2
495,9
496,1
497,9
498,9
499,4
500,1
501,9
502,1
503,11
504,4
505,1
506,9
507,1
508,1
509,9
510,9
511,2
512,1
513,1
514,5
515,1
516,5
517,5
518,2
519,11
520,1
521,1
522,9
523,1
524,5
525,1
526,1
527,1
528,5
529,1
530,11
531,1
532,1
533,5
534,1
535,10
536,1
537,1
538,1
539,11
540,0
541,1
542,9
543,9
544,9
545,5
546,2
547,2
548,5
549,1
550,1
551,1
552,1
553,4
554,1
555,1
556,1
557,1
558,1
559,1
560,1
561,1
562,9
563,5
564,1
565,1
566,1
567,11
568,10
569,1
570,5
571,9
572,10
573,4
574,1
575,9
576,0
577,1
578,1
579,1
580,1
581,1
582,5
583,1
584,1
585,11
586,1
587,5
588,1
589,1
590,4
591,1
592,1
593,1
594,11
595,1
596,2
597,1
598,1
599,0
600,1
601,1
602,1
603,3
604,1
605,11
606,9
607,2
608,5
609,1
610,9
611,1
612,1
613,2
614,1
615,4
616,1
617,1
618,5
619,1
620,1
621,1
622,9
623,11
624,1
625,1
626,5
627,5
628,4
629,2
630,1
631,1
632,1
633,1
634,1
635,1
636,1
637,11
638,11
639,1
640,1
641,1
642,0
643,1
644,1
645,1
646,0
647,10
648,1
649,1
650,1
651,4
652,1
653,9
654,1
655,11
656,9
657,1
658,1
659,1
660,9
661,9
662,3
663,1
664,4
665,5
666,1
667,10
668,2
669,1
670,1
671,5
672,1
673,11
674,1
675,1
676,1
677,1
678,1
679,1
680,9
681,1
682,1
683,4
684,1
685,0
686,1
687,2
688,1
689,1
690,1
691,3
692,1
693,9
694,1
695,1
696,1
697,1
698,1
699,1
700,1
701,1
702,9
703,1
704,1
705,11
706,5
707,5
708,1
709,5
710,1
711,1
712,1
713,1
714,9
715,1
716,1
717,2
718,1
719,1
720,1
721,1
722,9
723,1
724,1
725,1
726,1
727,1
728,1
729,3
730,5
731,1
732,1
733,1
734,1
735,1
736,9
737,5
738,1
739,1
740,11
741,1
742,1
743,5
744,10
745,1
746,1
747,0
748,1
749,10
750,1
751,1
752,1
753,0
754,9
755,11
756,3
757,9
758,2
759,1
760,1
761,1
762,1
763,1
764,1
765,1
766,5
767,1
768,1
769,5
770,1
771,1
772,1
773,5
774,1
775,1
776,1
777,5
778,3
779,5
780,9
781,1
782,1
783,1
784,0
785,9
786,1
787,1
788,9
789,1
790,2
791,9
792,5
793,1
794,11
795,2
796,1
797,5
798,5
799,11
800,1
801,1
802,11
803,1
804,2
805,2
806,9
807,5
808,1
809,11
810,10
811,1
812,5
813,10
814,1
815,5
816,9
817,9
818,2
819,1
820,1
821,4
822,1
823,1
824,1
825,2
826,9
827,11
828,1
829,1
830,1
831,1
832,2
833,5
834,0
835,5
836,5
837,1
838,1
839,1
840,1
841,9
842,1
843,1
844,3
845,1
846,9
847,5
848,9
849,1
850,5
851,1
852,9
853,1
854,5
855,1
856,11
857,1
858,0
859,9
860,0
861,1
862,1
863,9
864,1
865,1
866,0
867,1
868,1
869,5
870,1
871,5
872,1
873,11
874,1
875,11
876,1
877,1
878,9
879,11
880,9
881,1
882,9
883,1
884,1
885,1
886,1
887,1
888,1
889,1
890,4
891,1
892,1
893,1
894,1
895,4
896,1
897,1
898,1
899,1
900,1
901,1
902,0
903,1
904,1
905,1
906,4
907,5
908,1
909,1
910,5
911,4
912,2
913,10
914,1
915,9
916,5
917,3
918,1
919,5
920,2
921,1
922,5
923,1
924,9
925,1
926,1
927,11
928,2
929,1
930,5
931,1
932,1
933,5
934,1
935,2
936,1
937,1
938,1
939,5
940,1
941,2
942,11
943,1
944,1
945,0
946,10
947,1
948,1
949,9
950,9
951,11
952,1
953,1
954,9
