,0
0,zgc:55461
1,CR383676.1
2,si:dkey-151g10.6
3,hsp90aa1.2
4,hmgn2
5,h1f0
6,hsp90ab1
7,ckba
8,si:ch211-155m12.5
9,srgn
10,tuba7l
11,rplp1
12,hmgb2b
13,si:ch73-111k22.3
14,sumo1
15,si:ch211-222l21.1
16,mapre1a
17,rplp0
18,rarres3l
19,rpl37
20,rpl32
21,sycp1
22,NC_002333.4
23,si:ch211-248e11.2
24,hmgb1a
25,h2afvb
26,pvalb6
27,ube2c
28,si:dkey-40g16.5
29,bida
30,si:dkey-58j15.10
31,hmgb1b
32,efcab2
33,CR318588.4
34,rpl11
35,cfap299
36,eef1a1l2
37,csnk2a1
38,cremb
39,odf3b
40,mt-co2
41,insl3
42,syce2
43,rps20
44,si:ch211-242f23.3
45,pttg1
46,rps12
47,ropn1l
48,pias4b
49,rps2
50,zgc:153665
51,tp53inp2
52,rpl39
53,dnali1
54,rps7
55,hsp70.3
56,rab36
57,mlf1
58,rps15a
59,BX004999.1
60,cetn4
61,rps19
62,cfap20
63,hsp70l
64,si:dkey-151m22.8
65,dynlrb1
66,gas8
67,leng9
68,ifi46
69,mt-atp6
70,rpl7a
71,fam166b
72,enkur
73,si:ch211-5k11.8
74,fank1
75,rpl18
76,si:dkey-27p23.3
77,si:dkeyp-46h3.1
78,hbba1
79,cirbpa
80,rpl19
81,nupl2
82,tekt1
83,ISCU (1 of many)
84,spata4
85,ube2h
86,rpl7
87,si:ch211-121a2.2
88,sycp3
89,si:ch211-163l21.7
90,dynll1
91,cfap126
92,rps6
93,gra
94,rpsa
95,rsph9
96,rnf4
97,cart3
98,ccdc173
99,zgc:56699
100,rplp2
101,hspa8
102,zgc:194246
103,si:ch73-367j5.3
104,si:dkey-165n16.1
105,rps27l
106,eif1b
107,rpl35
108,TPGS1
109,iqcd
110,tm7sf2
111,mt-co3
112,si:dkeyp-50b9.1
113,rpl13
114,si:dkey-11c5.11
115,rpl15
116,maf1
117,flj11011l
118,rps15
119,nme5
120,rps14
121,h3f3b.1
122,daw1
123,rpl24
124,ybx1
125,rpl36
126,mov10a
127,rbm8a
128,rpl35a
129,rps9
130,rps29
131,rsph4a
132,fth1a
133,rps24
134,them6
135,rpl10a
136,si:ch211-209a2.2
137,rpl34
138,hsp70.2
139,arl6ip1
140,hsf5
141,dusp22b
142,RPL37A
143,rplp2l
144,cox5b2
145,rps21
146,nusap1
147,ubc
148,CFAP77
149,spaca9
150,oip5
151,tubb4b
152,ppm1ba
153,h3f3d
154,rps8a
155,dnai1.1
156,rpl8
157,degs2
158,rps10
159,fam183a
160,rhocb
161,erh
162,tctex1d1
163,mkrn4
164,ccna2
165,ift46
166,calm3a
167,cby1
168,pacrg
169,styk1b
170,meig1
171,si:dkeyp-81f3.4
172,rpl10
173,nek2
174,spag6
175,chmp5b
176,rpl36a
177,fxyd1
178,hnrnpa0l
179,rps5
180,ptp4a2a
181,cks2
182,rpl27
183,CABZ01068177.1
184,cfap52
185,dnajb1b
186,eif6
187,rsrp1
188,h2afx1
189,capsla
190,si:ch211-191o15.6
191,tpd52
192,rabepk
193,rpl3
194,coq9
195,hormad1
196,fam133b
197,rpl23
198,si:ch73-302o18.2
199,polb
200,CR318588.1
201,rps27.1
202,efhc2
203,zgc:158463
204,dnal1
205,si:dkey-70b23.2
206,rps28
207,dnal4b
208,ube2b
209,rps16
210,BX511310.1
211,ak1
212,si:dkey-234d14.2
213,ddx39ab
214,slc25a5
215,ccdc166
